Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_adam4,0.06620113749504089,0.7393166666666666,0.802375,0.8115
demo_adam4,0.058068977534770964,0.7906416666666667,0.855375,0.852
demo_adam4,0.0536596555047565,0.8144222222222223,0.819625,0.811
demo_adam4,0.05090804616610209,0.8210458333333334,0.748375,0.754
demo_adam4,0.0487917312002182,0.8048966666666667,0.7205,0.715
demo_adam4,0.04704353908167945,0.7911916666666666,0.7045,0.695
demo_adam4,0.045626731948625474,0.7787642857142857,0.697875,0.6955
demo_adam4,0.0443391813347737,0.7651291666666666,0.62625,0.6245
demo_adam4,0.043274831880463493,0.7514666666666666,0.60775,0.605
demo_adam4,0.042384477970600125,0.7394366666666666,0.631875,0.6305
