Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_adam1,0.10348419726689656,0.519,0.614875,0.619
demo_adam1,0.0799874930302302,0.6452833333333333,0.7795,0.7725
demo_adam1,0.07388200425571866,0.6388277777777778,0.518875,0.4995
demo_adam1,0.06998626862764358,0.6003375,0.49725,0.48
demo_adam1,0.06721044372240702,0.5701233333333333,0.404375,0.3815
demo_adam1,0.06536907759242587,0.5427916666666667,0.385375,0.3725
demo_adam1,0.06443875390234448,0.5114809523809524,0.299,0.2785
demo_adam1,0.06355987301965554,0.4817666666666667,0.2905,0.2835
demo_adam1,0.06286380364718261,0.4592888888888889,0.26475,0.2615
demo_adam1,0.061904225359757745,0.4378433333333333,0.225875,0.228
