Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_nn2,2.282296256128947,0.20478333333333334,0.257875,0.2685
demo_nn2,1.315202242422104,0.277425,0.17075,0.176
demo_nn2,0.9564117980533176,0.31451666666666667,0.458375,0.453
demo_nn2,0.759423967218399,0.3429041666666667,0.430625,0.416
demo_nn2,0.6363099459648133,0.36216,0.46625,0.4545
demo_nn2,0.5564511079364353,0.37845833333333334,0.44825,0.452
demo_nn2,0.4961290876479376,0.3930119047619048,0.468375,0.4555
demo_nn2,0.4493560513774554,0.4005916666666667,0.480375,0.4815
demo_nn2,0.4116473925484551,0.4091240740740741,0.41775,0.4265
demo_nn2,0.38095407433827716,0.41518166666666667,0.3885,0.393
