Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo5,0.08917181431452434,0.5655,0.550375,0.556
demo5,0.07604242220719655,0.558075,0.4975,0.486
demo5,0.06995949880811904,0.5503277777777777,0.536125,0.5485
demo5,0.06556505482991537,0.5455541666666667,0.533625,0.5445
demo5,0.06236149766921997,0.54205,0.501,0.512
demo5,0.05998997472657098,0.5398333333333334,0.515,0.521
demo5,0.05806409150191716,0.5379261904761905,0.50775,0.5225
demo5,0.05643005474905173,0.5369729166666667,0.535375,0.5435
demo5,0.05493787409111305,0.5363925925925926,0.523625,0.5295
demo5,0.0536625782752037,0.5357983333333334,0.530625,0.5425
