Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_nn4,0.08027031755447388,0.6356166666666667,0.626125,0.6285
demo_nn4,0.06820222793420155,0.6374583333333333,0.630875,0.623
demo_nn4,0.06255411892467075,0.6469888888888888,0.658125,0.65
demo_nn4,0.058911851767698926,0.6478666666666667,0.65025,0.65
demo_nn4,0.056048555749257406,0.64394,0.591,0.5975
demo_nn4,0.05401316491232978,0.6355027777777777,0.5965,0.589
demo_nn4,0.05211871922016144,0.6288357142857143,0.555375,0.5775
demo_nn4,0.050542308017611504,0.6231416666666667,0.579125,0.591
demo_nn4,0.04910952526728312,0.6190037037037037,0.56225,0.5815
demo_nn4,0.04788888016462326,0.6157,0.508375,0.529
