Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo6,0.11676388238271078,0.6115,0.563125,0.5615
demo6,0.0991056484222412,0.592,0.562625,0.5695
demo6,0.09058272421624926,0.5821722222222222,0.534125,0.542
demo6,0.08476487011909485,0.5769916666666667,0.5425,0.551
demo6,0.08073525513966878,0.5722366666666666,0.535875,0.549
demo6,0.07771344457202488,0.5673638888888889,0.542,0.546
demo6,0.07523192137536548,0.5635952380952381,0.525625,0.53
demo6,0.07316154775818189,0.5605645833333334,0.539125,0.547
demo6,0.07147492040528192,0.5582462962962963,0.522875,0.524
demo6,0.07001650261720022,0.5562383333333333,0.538875,0.5465
