Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_rs1,0.18499005591074624,0.7457166666666667,0.811,0.816
demo_rs1,0.15785268578529357,0.7891833333333333,0.83075,0.83
demo_rs1,0.14504802055358887,0.8067166666666666,0.830875,0.8215
demo_rs1,0.13696337401866912,0.8170125,0.834625,0.8385
demo_rs1,0.13112526643753053,0.8243333333333334,0.844125,0.84
demo_rs1,0.1262268782933553,0.8299583333333334,0.855125,0.853
demo_rs1,0.12220453439894177,0.8349261904761904,0.8495,0.844
demo_rs1,0.11867442190448443,0.8391125,0.855875,0.8485
demo_rs1,0.11567775658148306,0.84285,0.85325,0.85
demo_rs1,0.11296543797969819,0.8463616666666667,0.863,0.864
