Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_nn_adam_ne1,0.14804129759470622,0.75205,0.77875,0.7755
demo_nn_adam_ne1,0.1280862406094869,0.7730583333333333,0.781125,0.7835
demo_nn_adam_ne1,0.1177416777504815,0.7854888888888889,0.802,0.801
demo_nn_adam_ne1,0.11107288294235865,0.7940625,0.8135,0.8175
demo_nn_adam_ne1,0.10624215800921122,0.8015133333333333,0.816375,0.829
demo_nn_adam_ne1,0.10245179142422146,0.8080944444444444,0.83425,0.842
demo_nn_adam_ne1,0.09913899196670169,0.8145523809523809,0.83925,0.8545
demo_nn_adam_ne1,0.09630939586162567,0.8203416666666666,0.8395,0.8575
demo_nn_adam_ne1,0.093830350584454,0.8254370370370371,0.8555,0.873
demo_nn_adam_ne1,0.09160891474723816,0.8308083333333334,0.858625,0.874
