Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_rs1,0.11594290456374487,0.7350333333333333,0.8868,0
demo_rs1,0.08373752061923345,0.8172416666666666,0.9328,0
demo_rs1,0.06828609243167771,0.85525,0.9479,0
demo_rs1,0.05872928577040633,0.8777958333333333,0.9549,0
demo_rs1,0.05210378887196382,0.89288,0.9612,0
demo_rs1,0.047176481565833095,0.9040277777777778,0.9653,0
demo_rs1,0.043324903566070966,0.9127190476190477,0.9684,0
demo_rs1,0.04022715512712797,0.9195520833333334,0.9709,0
demo_rs1,0.037663940365446937,0.9252018518518519,0.9729,0
demo_rs1,0.035495274755011005,0.9299533333333333,0.9738,0
