Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_IF1,0.09817083160479863,0.7521,0.8746,0
demo_IF1,0.07387769989470641,0.8207666666666666,0.9206,0
demo_IF1,0.06211297402116987,0.8531055555555556,0.9313,0
demo_IF1,0.05493942827284336,0.8727166666666667,0.9399,0
demo_IF1,0.050017183736165365,0.8863833333333333,0.9452,0
demo_IF1,0.046378705766134794,0.8965138888888889,0.9514,0
demo_IF1,0.04355824485435372,0.9043690476190476,0.9571,0
demo_IF1,0.04128670301052431,0.9107645833333333,0.961,0
demo_IF1,0.03941871372991138,0.9160944444444444,0.9628,0
demo_IF1,0.03785934493323167,0.9206916666666667,0.9651,0
